,time,rep,cell type ,group,Activated CD4 T cells,Cycling Plasma,Cycling T cells,Cytotoxic CD8 T cells,DCs,MAIT,Megakaryocytes,Memory B cells,Monocytes,Naive B cells,Naive T cells,NKs,Plasma,Stem cells,XCL+ NKs
d_22_SEACell-18,22,8,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_22_SEACell-19,22,8,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_22_SEACell-2,22,8,Monocytes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
d_22_SEACell-20,22,8,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_22_SEACell-21,22,8,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_22_SEACell-22,22,8,DCs,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d_22_SEACell-23,22,8,XCL+ NKs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d_22_SEACell-24,22,8,Cycling Plasma,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
d_22_SEACell-25,22,8,Cycling Plasma,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
d_22_SEACell-26,22,8,MAIT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d_22_SEACell-27,22,8,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_22_SEACell-28,22,8,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_22_SEACell-29,22,8,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_22_SEACell-3,22,8,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_22_SEACell-30,22,8,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_22_SEACell-31,22,8,Monocytes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
d_22_SEACell-32,22,8,Monocytes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
d_22_SEACell-33,22,8,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_22_SEACell-34,22,8,XCL+ NKs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d_22_SEACell-35,22,8,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_22_SEACell-36,22,8,MAIT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d_22_SEACell-37,22,8,DCs,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d_22_SEACell-38,22,8,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_22_SEACell-39,22,8,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_22_SEACell-4,22,8,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_22_SEACell-40,22,8,DCs,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d_22_SEACell-41,22,8,Stem cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
d_22_SEACell-42,22,8,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_22_SEACell-43,22,8,MAIT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d_22_SEACell-44,22,8,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_22_SEACell-45,22,8,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_22_SEACell-46,22,8,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_22_SEACell-47,22,8,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_22_SEACell-48,22,8,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_22_SEACell-49,22,8,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_22_SEACell-5,22,8,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_22_SEACell-50,22,8,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_22_SEACell-51,22,8,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_22_SEACell-52,22,8,XCL+ NKs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d_22_SEACell-53,22,8,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_22_SEACell-54,22,8,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_22_SEACell-55,22,8,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_22_SEACell-56,22,8,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_22_SEACell-57,22,8,Monocytes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
d_22_SEACell-58,22,8,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_22_SEACell-59,22,8,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_22_SEACell-6,22,8,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_22_SEACell-7,22,8,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_22_SEACell-8,22,8,Monocytes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
d_22_SEACell-9,22,8,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_25_SEACell-0,25,9,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_25_SEACell-1,25,9,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_25_SEACell-10,25,9,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_25_SEACell-11,25,9,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_25_SEACell-12,25,9,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_25_SEACell-13,25,9,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_25_SEACell-14,25,9,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_25_SEACell-15,25,9,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_25_SEACell-16,25,9,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_25_SEACell-17,25,9,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_25_SEACell-18,25,9,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_25_SEACell-19,25,9,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_25_SEACell-2,25,9,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_25_SEACell-3,25,9,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_25_SEACell-4,25,9,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_25_SEACell-5,25,9,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_25_SEACell-6,25,9,XCL+ NKs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d_25_SEACell-7,25,9,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_25_SEACell-8,25,9,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_25_SEACell-9,25,9,Cycling Plasma,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
d_28_SEACell-0,28,10,Monocytes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
d_28_SEACell-1,28,10,XCL+ NKs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
d_28_SEACell-10,28,10,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_28_SEACell-11,28,10,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_28_SEACell-12,28,10,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_28_SEACell-13,28,10,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_28_SEACell-14,28,10,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_28_SEACell-15,28,10,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_28_SEACell-16,28,10,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_28_SEACell-17,28,10,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_28_SEACell-18,28,10,DCs,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d_28_SEACell-19,28,10,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_28_SEACell-2,28,10,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_28_SEACell-3,28,10,MAIT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
d_28_SEACell-4,28,10,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_28_SEACell-5,28,10,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_28_SEACell-6,28,10,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_28_SEACell-7,28,10,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_28_SEACell-8,28,10,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_28_SEACell-9,28,10,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
