,time,rep,cell type ,group,Activated CD4 T cells,Cycling Plasma,Cycling T cells,Cytotoxic CD8 T cells,DCs,MAIT,Megakaryocytes,Memory B cells,Monocytes,Naive B cells,Naive T cells,NKs,Plasma,Stem cells,XCL+ NKs
d_10_SEACell-40,10,4,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_10_SEACell-41,10,4,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_10_SEACell-42,10,4,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_10_SEACell-43,10,4,Memory B cells,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d_10_SEACell-44,10,4,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_10_SEACell-45,10,4,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_10_SEACell-46,10,4,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_10_SEACell-47,10,4,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_10_SEACell-48,10,4,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_10_SEACell-49,10,4,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_10_SEACell-5,10,4,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_10_SEACell-50,10,4,Plasma,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
d_10_SEACell-51,10,4,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_10_SEACell-52,10,4,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_10_SEACell-53,10,4,Cycling Plasma,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
d_10_SEACell-54,10,4,Cycling Plasma,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
d_10_SEACell-55,10,4,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_10_SEACell-56,10,4,Stem cells,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
d_10_SEACell-57,10,4,Cytotoxic CD8 T cells,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d_10_SEACell-58,10,4,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_10_SEACell-59,10,4,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_10_SEACell-6,10,4,Cycling T cells,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
d_10_SEACell-60,10,4,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
d_10_SEACell-61,10,4,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_10_SEACell-62,10,4,Naive T cells,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d_10_SEACell-63,10,4,Naive B cells,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
d_10_SEACell-64,10,4,Activated CD4 T cells,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_10_SEACell-65,10,4,NKs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
